ETUNIMI;YHTEENSÄ
Leena-Kaisa;143
Hanne-Mari;143
Hussein;142
Cilla;142
Rosalie;142
Mari-Ann;142
Anna-Marja;141
Saara-Maria;141
Marttiina;141
Lola;141
Marja-Sisko;141
Daisy;141
Polina;140
Ulla-Maria;140
Ulla-Maj;140
Dora;140
Therése;140
Seelia;139
Gun-Maj;139
Linne;138
Iréne;138
Liana;138
Dana;138
Mari-Anna;138
Liisa-Maria;137
Maj-Gret;137
Raakeli;137
Agda;137
Aletta;137
Marjetta;136
Cesilia;136
Milda;136
Alfhild;136
Adela;136
Nikita;136
Celine;136
Fadumo;135
Peppina;135
Ilana;135
Timontytär;135
Annelie;135
Ariana;135
Nilla;134
Anna-Emilia;134
Isadora;134
Antoinette;134
Riikka-Liisa;133
Onneli;133
Eeva-Marja;133
Marielle;133
Eleanora;133
Amélie;132
Inez;132
Xenia;132
Malva;132
Phuong;132
Suzanne;132
Madelene;132
Janessa;132
Seija-Liisa;131
Neelia;131
Emeliina;131
Iida-Sofia;131
Anh;131
Lillian;131
Juhantytär;130
Alinda;130
Annariina;130
Anja-Riitta;130
Suometar;130
Maud;129
Darja;129
Greetta;129
Tuike;129
Maarita;129
Jemiina;129
Ensi;129
Halla;128
Majvor;128
Abigail;128
Selene;128
Sylva;128
Suvi-Maria;128
Anceliga;128
Marlena;128
Ritva-Leena;128
Luisa;128
Linda-Maria;128
Ringa;127
Safia;127
Evelia;127
Danielle;127
Tiina-Maria;126
Lee;126
Satu-Maria;126
Irena;126
Enja;126
Iman;125
Fiina;125
Pirre;125
Freya;125
Alida;125
Yrsa;124
Nona;124
Mareena;124
Nonna;124
Ibrahim;124
Ofelia;124
Alvina;123
Nadine;123
Hilve;123
Ann-Katrin;123
Louisa;123
Mikontytär;122
Nanny;122
Abdirahman;122
Ros-Mari;122
Vivia;121
Ludmila;121
Ewa;121
Senna;121
Nanette;121
Kaisa-Liisa;121
Fredriika;121
Heloisa;121
Pirkitta;121
Kate;121
Henna-Mari;121
Kitty;121
Nelma;120
Tilma;120
Henrica;120
Tiina-Mari;119
Annastina;119
Lynn;119
Norma;119
Fransiina;119
Anna-Maaria;119
Liliana;119
Maijastiina;118
Marlen;118
Emiilia;118
Rhea;118
Manuela;118
Ghita;117
Tyra;117
Henny;117
Anna-Stiina;117
Merja-Riitta;117
Celia;117
Ruska;117
Raini;117
Vivi-Ann;117
Rauna;117
Safira;117
Ona;117
Nitta;116
Anisa;116
Carolin;116
Mirikli;116
Gun-Lis;115
Peggy;115
Rigmor;115
Lioudmila;115
Hedda;115
Yulia;115
Lumikukka;114
Denice;114
Aline;114
Linea;113
Lise;113
Evgenia;113
Monna;113
Natalja;113
Menni;113
Lulu;113
Alyssa;113
Friida;113
Sallamaari;113
Mirja-Leena;113
Nova;113
Urpu;113
Oksana;112
Marja-Helena;112
Charlott;112
Dorotea;112
Helly;112
Nur;112
Elinor;112
Tuula-Maija;112
Zainab;112
Mariita;112
Eimi;112
Anna-Karin;111
Jetta;111
Sirje;111
Ea;111
Sarina;111
Rafaela;111
Hong;111
Abdulkadir;111
Sharon;111
Sari-Anne;111
Rose-Maj;111
Vilmiina;111
Emili;110
Kiara;110
Marjanna;110
Keiju;110
Sera;110
Manda;109
Oosa;109
Ulla-Mari;109
Oxana;109
Mary-Ann;109
Paloma;108
Farah;108
Marguerite;108
Mahamed;108
Ellie;108
Juni;108
Riikka-Maria;108
Paola;108
Tiuku;107
Ulla-Marja;107
Jasmiini;107
Maritza;107
Alena;107
Adalia;107
Leah;107
Sira;107
Eugenia;106
Rosina;106
Katjaana;106
Anja-Liisa;106
Ainu;106
Yusuf;106
Albertina;106
Rinna;106
Arja-Riitta;106
Violetta;105
Anne-Riitta;105
Berta;105
Vendela;105
Emilja;105
Catrin;105
Mohammed;105
Renata;105
Eufrosyne;105
Anna-Katariina;104
Tutta;104
Irja-Liisa;104
Merete;104
Adeline;104
Hennariikka;104
Gunn;103
Engla;103
Mirelle;103
Janine;103
Gunn-Britt;103
Catrine;103
Gloria;103
Maura;102
Liselott;102
Florence;102
Leyla;102
Claire;102
Eija-Leena;102
Irmelin;102
Ann-Charlott;102
Fredriikka;101
Heikintytär;101
Akuliina;101
Priscilla;101
Zaida;101
Rilla;101
Yolanda;101
Hagar;101
Kaur;101
Emma-Sofia;101
Ottiilia;101
Peppi-Lotta;101
Nanne;100
Edna;100
Paju;100
Aurinko;100
Anni-Sofia;100
Eliise;100
Annmari;99
Ljubov;99
Henniina;99
Anika;99
Stefanie;99
Eliana;99
Zara;99
Pirketta;99
Sonya;99
Selinda;99
Noelle;99
Leia;98
Tatja;98
Carmela;98
Jeannette;98
Hanna-Riitta;98
Arianna;98
Caterina;98
Mathilde;98
Anneka;98
Ristiina;98
Salla-Maaria;97
Amal;97
Sara-Maria;97
Gunda;97
Anna-Greta;97
Arina;96
Taiga;96
Sulevi;96
Sole;96
Kirsimarja;96
Nadejda;96
Toivikki;96
Linh;96
Milli;96
Janetta;96
Mianna;95
Anni-Mari;95
Casandra;95
Margitta;95
Sini-Tuulia;95
Margareth;95
Sinja;95
Tita;95
Violet;94
Elly;94
Vendla;94
Emerentia;94
Elliina;93
Aleksia;93
Sini-Maria;93
Meira;93
Muisto;93
Hinni;93
Unnukka;93
Lyylikki;93
Joan;92
Merit;92
Rania;92
Vanilla;92
Karoline;92
Tianna;92
Jamina;92
Terja;92
Cathrine;92
Eleni;92
Ainamo;92
Minnamari;92
Sanna-Maarit;91
Celeste;91
Liida;91
Lotta-Maria;91
Sahra;91
Jean;91
Kirsi-Maarit;91
Minttu-Maaria;90
Marja-Kaarina;90
Päivyt;90
Kaisa-Mari;90
Anne-Kristiina;90
Opri;90
Emmi-Lotta;90
Hannakaisa;89
Eea;89
Evy;89
Tuyet;89
Kaari;89
Lise-Lotte;89
Gitta;89
Emma-Lotta;89
Minna-Maarit;89
Sella;89
Vivika;89
Fatma;89
Jarintytär;89
Raina;88
Minna-Leena;88
Renate;88
Tarita;88
Anina;88
Mildred;88
Verona;88
Corinne;88
Zeinab;88
Lauren;88
Serafiia;87
Jill;87
Hannuntytär;87
Yasemin;87
Mainikki;87
Savannah;87
Justina;87
Tuuliina;87
Julina;87
Marje;87
Nessa;87
Anne-Marita;87
Annuli;87
Tuula-Marja;87
Minna-Riitta;86
Mona-Lisa;86
Hilde;86
Kathleen;86
Emine;86
Liselotte;86
Marena;86
Minttu-Maria;86
Merja-Leena;86
Elif;86
Miranna;86
Kukka-Maria;86
Jenna-Maria;86
Vella;86
Minda;86
Suvi-Maaria;85
Tii;85
Arita;85
Jacqueline;85
Helkky;85
Tiina-Riitta;85
Sorella;84
Maret;84
Julietta;84
Zoe;84
Mataleena;84
Toive;84
Hymy;84
Nada;84
Julianne;84
Juudit;84
Natali;84
Jemima;83
Arlene;83
Chiara;83
Alisia;83
Eveline;83
Oma;83
Soraja;83
Hele;83
Karintytär;83
Lucy;83
Unni;82
Gina;82
Gabrielle;82
Cajsa;82
Anna-Karoliina;82
Etta;82
Liubov;82
